#,Name,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Primary Type
854,Sinistea,308,40,45,45,74,54,50,Ghost
855,Polteageist,508,60,65,65,134,114,70,Ghost
856,Hatenna,265,42,30,45,56,53,39,Psychic
857,Hattrem,370,57,40,65,86,73,49,Psychic
858,Hatterene,510,57,90,95,136,103,29,Psychic
859,Impidimp,265,45,45,30,55,40,50,Dark
860,Morgrem,370,65,60,45,75,55,70,Dark
861,Grimmsnarl,510,95,120,65,95,75,60,Dark
862,Obstagoon,520,93,90,101,60,81,95,Dark
863,Perrserker,440,70,110,100,50,60,50,Steel
864,Cursola,510,60,95,50,145,130,30,Ghost
865,Sirfetch'd,507,62,135,95,68,82,65,Fighting
866,Mr. Rime,520,80,85,75,110,100,70,Ice
867,Runerigus,483,58,95,145,50,105,30,Ground
868,Milcery,270,45,40,40,50,61,34,Fairy
869,Alcremie,495,65,60,75,110,121,64,Fairy
870,Falinks,470,65,100,100,70,60,75,Fighting
871,Pincurchin,435,48,101,95,91,85,15,Electric
872,Snom,185,30,25,35,45,30,20,Ice
873,Frosmoth,475,70,65,60,125,90,65,Ice
874,Stonjourner,470,100,125,135,20,20,70,Rock
875,Eiscue  Ice Face,470,75,80,110,65,90,50,Ice
875,Eiscue  Noice Face,470,75,80,70,65,50,130,Ice
876,Indeedee  Male,475,60,65,55,105,95,95,Psychic
876,Indeedee  Female,475,70,55,65,95,105,85,Psychic
877,Morpeko  Full Belly Mode,436,58,95,58,70,58,97,Electric
877,Morpeko  Hangry Mode,436,58,95,58,70,58,97,Electric
878,Cufant,330,72,80,49,40,49,40,Steel
879,Copperajah,500,122,130,69,80,69,30,Steel
880,Dracozolt,505,90,100,90,80,70,75,Electric
881,Arctozolt,505,90,100,90,90,80,55,Electric
882,Dracovish,505,90,90,100,70,80,75,Water
883,Arctovish,505,90,90,100,80,90,55,Water
884,Duraludon,535,70,95,115,120,50,85,Steel
885,Dreepy,270,28,60,30,40,30,82,Dragon
886,Drakloak,410,68,80,50,60,50,102,Dragon
887,Dragapult,600,88,120,75,100,75,142,Dragon
888,Zacian  Hero of Many Battles,660,92,120,115,80,115,138,Fairy
888,Zacian  Crowned Sword,700,92,150,115,80,115,148,Fairy
889,Zamazenta  Hero of Many Battles,660,92,120,115,80,115,138,Fighting
889,Zamazenta  Crowned Shield,700,92,120,140,80,140,128,Fighting
890,Eternatus,690,140,85,95,145,95,130,Poison
890,Eternatus  Eternamax,1125,255,115,250,125,250,130,Poison
891,Kubfu,385,60,90,60,53,50,72,Fighting
892,Urshifu  Single Strike Style,550,100,130,100,63,60,97,Fighting
892,Urshifu  Rapid Strike Style,550,100,130,100,63,60,97,Fighting
893,Zarude,600,105,120,105,70,95,105,Dark
894,Regieleki,580,80,100,50,100,50,200,Electric
895,Regidrago,580,200,100,50,100,50,80,Dragon
896,Glastrier,580,100,145,130,65,110,30,Ice
897,Spectrier,580,100,65,60,145,80,130,Ghost
898,Calyrex,500,100,80,80,80,80,80,Psychic
898,Calyrex  Ice Rider,680,100,165,150,85,130,50,Psychic
898,Calyrex  Shadow Rider,680,100,85,80,165,100,150,Psychic
899,Wyrdeer,525,103,105,72,105,75,65,Normal
900,Kleavor,500,70,135,95,45,70,85,Bug
901,Ursaluna,550,130,140,105,45,80,50,Ground
901,Ursaluna  Bloodmoon,555,113,70,120,135,65,52,Ground
902,Basculegion  Male,530,120,112,65,80,75,78,Water
902,Basculegion  Female,530,120,92,65,100,75,78,Water
903,Sneasler,510,80,130,60,40,80,120,Fighting
904,Overqwil,510,85,115,95,65,65,85,Dark
905,Enamorus  Incarnate Forme,580,74,115,70,135,80,106,Fairy
905,Enamorus  Therian Forme,580,74,115,110,135,100,46,Fairy
906,Sprigatito,310,40,61,54,45,45,65,Grass
907,Floragato,410,61,80,63,60,63,83,Grass
908,Meowscarada,530,76,110,70,81,70,123,Grass
909,Fuecoco,310,67,45,59,63,40,36,Fire
910,Crocalor,411,81,55,78,90,58,49,Fire
911,Skeledirge,530,104,75,100,110,75,66,Fire
912,Quaxly,310,55,65,45,50,45,50,Water
913,Quaxwell,410,70,85,65,65,60,65,Water
914,Quaquaval,530,85,120,80,85,75,85,Water
915,Lechonk,254,54,45,40,35,45,35,Normal
916,Oinkologne  Male,489,110,100,75,59,80,65,Normal
916,Oinkologne  Female,489,115,90,70,59,90,65,Normal
917,Tarountula,210,35,41,45,29,40,20,Bug
918,Spidops,404,60,79,92,52,86,35,Bug
919,Nymble,210,33,46,40,21,25,45,Bug
920,Lokix,450,71,102,78,52,55,92,Bug
921,Pawmi,240,45,50,20,40,25,60,Electric
922,Pawmo,350,60,75,40,50,40,85,Electric
923,Pawmot,490,70,115,70,70,60,105,Electric
924,Tandemaus,305,50,50,45,40,45,75,Normal
925,Maushold  Family of Four,470,74,75,70,65,75,111,Normal
925,Maushold  Family of Three,470,74,75,70,65,75,111,Normal
926,Fidough,312,37,55,70,30,55,65,Fairy
927,Dachsbun,477,57,80,115,50,80,95,Fairy
928,Smoliv,260,41,35,45,58,51,30,Grass
929,Dolliv,354,52,53,60,78,78,33,Grass
930,Arboliva,510,78,69,90,125,109,39,Grass
931,Squawkabilly  Green Plumage,417,82,96,51,45,51,92,Normal
931,Squawkabilly  Blue Plumage,417,82,96,51,45,51,92,Normal
931,Squawkabilly  Yellow Plumage,417,82,96,51,45,51,92,Normal
931,Squawkabilly  White Plumage,417,82,96,51,45,51,92,Normal
932,Nacli,280,55,55,75,35,35,25,Rock
933,Naclstack,355,60,60,100,35,65,35,Rock
934,Garganacl,500,100,100,130,45,90,35,Rock
935,Charcadet,255,40,50,40,50,40,35,Fire
936,Armarouge,525,85,60,100,125,80,75,Fire
937,Ceruledge,525,75,125,80,60,100,85,Fire
938,Tadbulb,272,61,31,41,59,35,45,Electric
939,Bellibolt,495,109,64,91,103,83,45,Electric
940,Wattrel,280,40,40,35,55,40,70,Electric
941,Kilowattrel,490,70,70,60,105,60,125,Electric
942,Maschiff,340,60,78,60,40,51,51,Dark
943,Mabosstiff,505,80,120,90,60,70,85,Dark
944,Shroodle,290,40,65,35,40,35,75,Poison
945,Grafaiai,485,63,95,65,80,72,110,Poison
946,Bramblin,275,40,65,30,45,35,60,Grass
947,Brambleghast,480,55,115,70,80,70,90,Grass
948,Toedscool,335,40,40,35,50,100,70,Ground
949,Toedscruel,515,80,70,65,80,120,100,Ground
950,Klawf,450,70,100,115,35,55,75,Rock
951,Capsakid,304,50,62,40,62,40,50,Grass
952,Scovillain,486,65,108,65,108,65,75,Grass
953,Rellor,270,41,50,60,31,58,30,Bug
954,Rabsca,470,75,50,85,115,100,45,Bug
955,Flittle,255,30,35,30,55,30,75,Psychic
956,Espathra,481,95,60,60,101,60,105,Psychic
957,Tinkatink,297,50,45,45,35,64,58,Fairy
958,Tinkatuff,380,65,55,55,45,82,78,Fairy
959,Tinkaton,506,85,75,77,70,105,94,Fairy
960,Wiglett,245,10,55,25,35,25,95,Water
961,Wugtrio,425,35,100,50,50,70,120,Water
962,Bombirdier,485,70,103,85,60,85,82,Flying
963,Finizen,315,70,45,40,45,40,75,Water
964,Palafin  Zero Form,457,100,70,72,53,62,100,Water
964,Palafin  Hero Form,650,100,160,97,106,87,100,Water
965,Varoom,300,45,70,63,30,45,47,Steel
966,Revavroom,500,80,119,90,54,67,90,Steel
967,Cyclizar,501,70,95,65,85,65,121,Dragon
968,Orthworm,480,70,85,145,60,55,65,Steel
969,Glimmet,350,48,35,42,105,60,60,Rock
970,Glimmora,525,83,55,90,130,81,86,Rock
971,Greavard,290,50,61,60,30,55,34,Ghost
972,Houndstone,488,72,101,100,50,97,68,Ghost
973,Flamigo,500,82,115,74,75,64,90,Flying
974,Cetoddle,334,108,68,45,30,40,43,Ice
975,Cetitan,521,170,113,65,45,55,73,Ice
976,Veluza,478,90,102,73,78,65,70,Water
977,Dondozo,530,150,100,115,65,65,35,Water
978,Tatsugiri  Curly Form,475,68,50,60,120,95,82,Dragon
978,Tatsugiri  Droopy Form,475,68,50,60,120,95,82,Dragon
978,Tatsugiri  Stretchy Form,475,68,50,60,120,95,82,Dragon
979,Annihilape,535,110,115,80,50,90,90,Fighting
980,Clodsire,430,130,75,60,45,100,20,Poison
981,Farigiraf,520,120,90,70,110,70,60,Normal
982,Dudunsparce  Two-Segment Form,520,125,100,80,85,75,55,Normal
982,Dudunsparce  Three-Segment Form,520,125,100,80,85,75,55,Normal
983,Kingambit,550,100,135,120,60,85,50,Dark
984,Great Tusk,570,115,131,131,53,53,87,Ground
985,Scream Tail,570,115,65,99,65,115,111,Fairy
986,Brute Bonnet,570,111,127,99,79,99,55,Grass
987,Flutter Mane,570,55,55,55,135,135,135,Ghost
988,Slither Wing,570,85,135,79,85,105,81,Bug
989,Sandy Shocks,570,85,81,97,121,85,101,Electric
990,Iron Treads,570,90,112,120,72,70,106,Ground
991,Iron Bundle,570,56,80,114,124,60,136,Ice
992,Iron Hands,570,154,140,108,50,68,50,Fighting
993,Iron Jugulis,570,94,80,86,122,80,108,Dark
994,Iron Moth,570,80,70,60,140,110,110,Fire
995,Iron Thorns,570,100,134,110,70,84,72,Rock
996,Frigibax,320,65,75,45,35,45,55,Dragon
997,Arctibax,423,90,95,66,45,65,62,Dragon
998,Baxcalibur,600,115,145,92,75,86,87,Dragon
999,Gimmighoul  Chest Form,300,45,30,70,75,70,10,Ghost
999,Gimmighoul  Roaming Form,300,45,30,25,75,45,80,Ghost
1000,Gholdengo,550,87,60,95,133,91,84,Steel
1001,Wo-Chien,570,85,85,100,95,135,70,Dark
1002,Chien-Pao,570,80,120,80,90,65,135,Dark
1003,Ting-Lu,570,155,110,125,55,80,45,Dark
1004,Chi-Yu,570,55,80,80,135,120,100,Dark
1005,Roaring Moon,590,105,139,71,55,101,119,Dragon
1006,Iron Valiant,590,74,130,90,120,60,116,Fairy
1007,Koraidon,670,100,135,115,85,100,135,Fighting
1008,Miraidon,670,100,85,100,135,115,135,Electric
1009,Walking Wake,590,99,83,91,125,83,109,Water
1010,Iron Leaves,590,90,130,88,70,108,104,Grass
1011,Dipplin,485,80,80,110,95,80,40,Grass
1012,Poltchageist,308,40,45,45,74,54,50,Grass
1013,Sinistcha,508,71,60,106,121,80,70,Grass
1014,Okidogi,555,88,128,115,58,86,80,Poison
1015,Munkidori,555,88,75,66,130,90,106,Poison
1016,Fezandipiti,555,88,91,82,70,125,99,Poison
1017,Ogerpon  Teal Mask,550,80,120,84,60,96,110,Grass
1017,Ogerpon  Wellspring Mask,550,80,120,84,60,96,110,Grass
1017,Ogerpon  Hearthflame Mask,550,80,120,84,60,96,110,Grass
1017,Ogerpon  Cornerstone Mask,550,80,120,84,60,96,110,Grass
1018,Archaludon,600,90,105,130,125,65,85,Steel
1019,Hydrapple,540,106,80,110,120,80,44,Grass
1020,Gouging Fire,590,105,115,121,65,93,91,Fire
1021,Raging Bolt,590,125,73,91,137,89,75,Electric
1022,Iron Boulder,590,90,120,80,68,108,124,Rock
1023,Iron Crown,590,90,72,100,122,108,98,Steel
1024,Terapagos  Normal Form,450,90,65,85,65,85,60,Normal
1024,Terapagos  Terastal Form,600,95,95,110,105,110,85,Normal
1024,Terapagos  Stellar Form,700,160,105,110,130,110,85,Normal
1025,Pecharunt,600,88,88,160,88,88,88,Poison
